Category,Staff code,Date
Academic EXC Motivated,JHP,02/09/2016
Academic EXC Determined,RME,05/09/2016
Academic EXC Curious,DRM,06/09/2016
Academic EXC Curious,DRM,06/09/2016
Academic EXC Creative,CMLK,06/09/2016
Academic EXC Motivated,CMLK,06/09/2016
Academic EXC Motivated,CMLK,06/09/2016
Academic EXC Curious,CMLK,06/09/2016
Academic EXC Curious,CMLK,06/09/2016
Infraction,ERM,06/09/2016
Co-Curricular EXC Motivated,JR,06/09/2016
Academic EXC Motivated,JR,06/09/2016
Academic EXC Motivated,JR,06/09/2016
Academic EXC Motivated,JR,06/09/2016
Academic EXC Motivated,JR,06/09/2016
Academic EXC Motivated,JR,06/09/2016
Academic EXC Motivated,JR,06/09/2016
Academic EXC Motivated,JR,06/09/2016
Academic EXC Reflective,RME,07/09/2016
Academic EXC Motivated,JEA,07/09/2016
Infraction,AWD,07/09/2016
Academic EXC Open-minded,RMDJ,07/09/2016
Academic EXC Motivated,JEA,07/09/2016
Academic EXC Motivated,ECH,07/09/2016
Academic EXC Motivated,ECH,07/09/2016
Academic EXC Motivated,ECH,07/09/2016
Academic EXC Motivated,ECH,07/09/2016
Academic EXC Motivated,ECH,07/09/2016
Academic EXC Motivated,ECH,07/09/2016
Academic EXC Motivated,ECH,07/09/2016
Academic EXC Motivated,ECH,07/09/2016
Academic EXC Motivated,ECH,07/09/2016
Academic EXC Motivated,ECH,07/09/2016
Academic EXC Motivated,ECH,07/09/2016
Co-Curricular EXC General,TMA,07/09/2016
Co-Curricular EXC General,TMA,07/09/2016
Academic EXC General,AM,07/09/2016
Academic EXC General,AM,07/09/2016
Academic EXC General,AM,07/09/2016
Co-Curricular EXC General,TMA,07/09/2016
Academic EXC General,AM,07/09/2016
Academic EXC General,AM,07/09/2016
Academic EXC Independent,CMLK,07/09/2016
Co-Curricular EXC General,JKC,07/09/2016
Co-Curricular EXC General,JKC,07/09/2016
Random Act of Kindness - Good College Spirit EXC,CAM,07/09/2016
Academic EXC Motivated,ARE,08/09/2016
Academic EXC Independent,ARE,08/09/2016
Academic EXC General,APRD,08/09/2016
Academic EXC General,APRD,08/09/2016
Academic EXC General,APRD,08/09/2016
Academic EXC General,APRD,08/09/2016
Academic EXC General,APRD,08/09/2016
Academic EXC General,APRD,08/09/2016
Academic EXC General,APRD,08/09/2016
Academic EXC Independent,ARE,08/09/2016
Academic EXC Independent,ARE,08/09/2016
Academic EXC Motivated,ECH,08/09/2016
Academic EXC Motivated,ECH,08/09/2016
Academic EXC Creative,DRM,08/09/2016
Academic EXC Creative,DRM,08/09/2016
Academic EXC Creative,DRM,08/09/2016
Academic EXC Creative,DRM,08/09/2016
Academic EXC Creative,DRM,08/09/2016
Infraction,JR,08/09/2016
Academic EXC General,JH,08/09/2016
Academic EXC General,JH,08/09/2016
Academic EXC General,JH,08/09/2016
Academic EXC General,JH,08/09/2016
Academic EXC General,JH,08/09/2016
Academic EXC General,JEA,08/09/2016
Random Act of Kindness - Good College Spirit EXC,CLK,08/09/2016
Academic EXC Motivated,AM,08/09/2016
Academic EXC Motivated,AM,08/09/2016
Academic EXC Determined,KDB,08/09/2016
Academic EXC Determined,KDB,08/09/2016
Academic EXC Determined,KDB,08/09/2016
Academic EXC Curious,ARE,08/09/2016
Academic EXC Motivated,CMLK,08/09/2016
Academic EXC Motivated,CMLK,08/09/2016
Academic EXC Motivated,CMLK,08/09/2016
Academic EXC Independent,CMLK,08/09/2016
Academic EXC Motivated,CMLK,08/09/2016
Academic EXC Motivated,ERM,08/09/2016
Academic EXC Motivated,ERM,08/09/2016
Academic EXC Motivated,ERM,08/09/2016
Academic EXC Motivated,ERM,08/09/2016
Academic EXC Motivated,ERM,08/09/2016
Random Act of Kindness - Good College Spirit EXC,SLK,08/09/2016
Random Act of Kindness - Good College Spirit EXC,JAMT,08/09/2016
Random Act of Kindness - Good College Spirit EXC,ERM,08/09/2016
Incomplete Work,JRN,08/09/2016
Incomplete Work,JRN,08/09/2016
Incomplete Work,JRN,08/09/2016
Academic EXC General,CDP,08/09/2016
Academic EXC General,CDP,08/09/2016
Academic EXC General,CDP,08/09/2016
Academic EXC General,CDP,08/09/2016
Random Act of Kindness - Good College Spirit EXC,LMP,09/09/2016
Random Act of Kindness - Good College Spirit EXC,LMP,09/09/2016
Random Act of Kindness - Good College Spirit EXC,LMP,09/09/2016
Random Act of Kindness - Good College Spirit EXC,LMP,09/09/2016
Academic EXC Motivated,ARE,09/09/2016
Academic EXC Curious,ERM,09/09/2016
Academic EXC Curious,ERM,09/09/2016
Academic EXC Creative,ERM,09/09/2016
Academic EXC Motivated,ERM,09/09/2016
Academic EXC Creative,SP,09/09/2016
Academic EXC Creative,SP,09/09/2016
Academic EXC Creative,SP,09/09/2016
Academic EXC Creative,SP,09/09/2016
Academic EXC Creative,SP,09/09/2016
Academic EXC Determined,ERM,09/09/2016
Academic EXC Determined,ERM,09/09/2016
Academic EXC Determined,ERM,09/09/2016
Academic EXC General,CEA,09/09/2016
Academic EXC Creative,CEA,09/09/2016
Academic EXC Motivated,JH,09/09/2016
Academic EXC Motivated,JH,09/09/2016
Academic EXC Motivated,JH,09/09/2016
Academic EXC Motivated,JH,09/09/2016
Academic EXC Motivated,JH,09/09/2016
Academic EXC Motivated,JH,09/09/2016
Academic EXC Motivated,JH,09/09/2016
Academic EXC Determined,JH,09/09/2016
Academic EXC Determined,JH,09/09/2016
Academic EXC Determined,DJPS,09/09/2016
Academic EXC Determined,DJPS,09/09/2016
Academic EXC Motivated,DJPS,09/09/2016
Academic EXC Motivated,DJPS,09/09/2016
Academic EXC Motivated,DJPS,09/09/2016
Academic EXC Motivated,DJPS,09/09/2016
Academic EXC Independent,DJPS,09/09/2016
Academic EXC Independent,DJPS,09/09/2016
Academic EXC Independent,DJPS,09/09/2016
Academic EXC Open-minded,MJM,09/09/2016
Academic EXC Motivated,CMLK,09/09/2016
Academic EXC Motivated,CMLK,09/09/2016
Infraction,CMLK,09/09/2016
Academic EXC Independent,CMLK,09/09/2016
Academic EXC Motivated,CMLK,09/09/2016
Academic EXC Motivated,CMLK,09/09/2016
Academic EXC Motivated,CMLK,09/09/2016
Academic EXC General,LJC,09/09/2016
Academic EXC Determined,LJC,09/09/2016
Academic EXC Motivated,KDB,09/09/2016
Academic EXC Motivated,KDB,09/09/2016
Academic EXC Determined,CAF,09/09/2016
Co-Curricular EXC General,SJ,09/09/2016
Academic EXC Motivated,JLP,09/09/2016
Infraction,AWD,09/09/2016
Infraction,JLP,09/09/2016
Academic EXC Creative,PSJ,09/09/2016
Academic EXC Creative,PSJ,09/09/2016
Academic EXC Creative,PSJ,09/09/2016
Academic EXC Creative,PSJ,09/09/2016
Academic EXC Creative,PSJ,09/09/2016
Academic EXC Creative,PSJ,09/09/2016
Academic EXC Creative,PSJ,09/09/2016
Academic EXC Creative,PSJ,09/09/2016
Academic EXC Motivated,PSJ,09/09/2016
Academic EXC Motivated,PSJ,09/09/2016
Academic EXC Motivated,PSJ,09/09/2016
Academic EXC Motivated,PSJ,09/09/2016
Academic EXC Creative,SP,09/09/2016
Academic EXC Motivated,SP,09/09/2016
Academic EXC Curious,RMDJ,09/09/2016
Academic EXC Curious,RMDJ,09/09/2016
Academic EXC Motivated,AWD,09/09/2016
Academic EXC Motivated,AWD,09/09/2016
Academic EXC Motivated,AWD,09/09/2016
Academic EXC Motivated,AWD,09/09/2016
Academic EXC Independent,AWD,09/09/2016
Academic EXC Independent,AWD,09/09/2016
Academic EXC Motivated,AWD,09/09/2016
Academic EXC General,RD,09/09/2016
Academic EXC Determined,JKC,09/09/2016
Academic EXC Determined,JKC,09/09/2016
Academic EXC Determined,JKC,09/09/2016
Academic EXC Determined,JKC,09/09/2016
Academic EXC Determined,AWD,10/09/2016
Academic EXC Determined,AWD,10/09/2016
Infraction,CMLK,10/09/2016
Infraction,CMLK,10/09/2016
Infraction,CMLK,10/09/2016
Infraction,CMLK,10/09/2016
Infraction,CMLK,10/09/2016
Co-Curricular EXC Motivated,CMLK,10/09/2016
Co-Curricular EXC Independent,ADD,10/09/2016
Academic EXC Open-minded,JEA,11/09/2016
Infraction,PMM,11/09/2016
Co-Curricular EXC Determined,DJPS,11/09/2016
Academic EXC Motivated,APRD,12/09/2016
Academic EXC Motivated,APRD,12/09/2016
Academic EXC Motivated,APRD,12/09/2016
Academic EXC Motivated,APRD,12/09/2016
Academic EXC Independent,HG,12/09/2016
Academic EXC Independent,HG,12/09/2016
Academic EXC Independent,HG,12/09/2016
Academic EXC Independent,HG,12/09/2016
Academic EXC Independent,HG,12/09/2016
Infraction,SGA,12/09/2016
Infraction,SGA,12/09/2016
Academic EXC Motivated,CEA,12/09/2016
Academic EXC Creative,ERM,12/09/2016
Academic EXC Motivated,ERM,12/09/2016
Incomplete Work,YDU,12/09/2016
Academic EXC Determined,SLK,12/09/2016
Academic EXC Determined,SLK,12/09/2016
Incomplete Work,APRD,12/09/2016
Academic EXC Independent,APRD,12/09/2016
Academic EXC Independent,APRD,12/09/2016
Academic EXC Independent,APRD,12/09/2016
Academic EXC Motivated,CMLK,12/09/2016
Infraction,CMLK,12/09/2016
Academic EXC Motivated,CMLK,12/09/2016
Academic EXC Creative,TW,12/09/2016
Academic EXC Creative,TW,12/09/2016
Academic EXC Creative,TW,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
Academic EXC Motivated,LJA,12/09/2016
