Category code,Category,Staff code,Date
EXC7MO,Academic EXC Motivated,JHP,02/09/2016
EXC7DE,Academic EXC Determined,RME,05/09/2016
EXC7CU,Academic EXC Curious,DRM,06/09/2016
EXC7CU,Academic EXC Curious,DRM,06/09/2016
EXC7CR,Academic EXC Creative,CMLK,06/09/2016
EXC7MO,Academic EXC Motivated,CMLK,06/09/2016
EXC7MO,Academic EXC Motivated,CMLK,06/09/2016
EXC7CU,Academic EXC Curious,CMLK,06/09/2016
EXC7CU,Academic EXC Curious,CMLK,06/09/2016
INF,Infraction,ERM,06/09/2016
EXC7CM,Co-Curricular EXC Motivated,JR,06/09/2016
EXC7MO,Academic EXC Motivated,JR,06/09/2016
EXC7MO,Academic EXC Motivated,JR,06/09/2016
EXC7MO,Academic EXC Motivated,JR,06/09/2016
EXC7MO,Academic EXC Motivated,JR,06/09/2016
EXC7MO,Academic EXC Motivated,JR,06/09/2016
EXC7MO,Academic EXC Motivated,JR,06/09/2016
EXC7MO,Academic EXC Motivated,JR,06/09/2016
EXC7RE,Academic EXC Reflective,RME,07/09/2016
EXC7MO,Academic EXC Motivated,JEA,07/09/2016
INF,Infraction,AWD,07/09/2016
EXC7OP,Academic EXC Open-minded,RMDJ,07/09/2016
EXC7MO,Academic EXC Motivated,JEA,07/09/2016
EXC7MO,Academic EXC Motivated,ECH,07/09/2016
EXC7MO,Academic EXC Motivated,ECH,07/09/2016
EXC7MO,Academic EXC Motivated,ECH,07/09/2016
EXC7MO,Academic EXC Motivated,ECH,07/09/2016
EXC7MO,Academic EXC Motivated,ECH,07/09/2016
EXC7MO,Academic EXC Motivated,ECH,07/09/2016
EXC7MO,Academic EXC Motivated,ECH,07/09/2016
EXC7MO,Academic EXC Motivated,ECH,07/09/2016
EXC7MO,Academic EXC Motivated,ECH,07/09/2016
EXC7MO,Academic EXC Motivated,ECH,07/09/2016
EXC7MO,Academic EXC Motivated,ECH,07/09/2016
EXCACT,Co-Curricular EXC General,TMA,07/09/2016
EXCACT,Co-Curricular EXC General,TMA,07/09/2016
EXCCUR,Academic EXC General,AM,07/09/2016
EXCCUR,Academic EXC General,AM,07/09/2016
EXCCUR,Academic EXC General,AM,07/09/2016
EXCACT,Co-Curricular EXC General,TMA,07/09/2016
EXCCUR,Academic EXC General,AM,07/09/2016
EXCCUR,Academic EXC General,AM,07/09/2016
EXC7IN,Academic EXC Independent,CMLK,07/09/2016
EXCACT,Co-Curricular EXC General,JKC,07/09/2016
EXCACT,Co-Curricular EXC General,JKC,07/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,CAM,07/09/2016
EXC7MO,Academic EXC Motivated,ARE,08/09/2016
EXC7IN,Academic EXC Independent,ARE,08/09/2016
EXCCUR,Academic EXC General,APRD,08/09/2016
EXCCUR,Academic EXC General,APRD,08/09/2016
EXCCUR,Academic EXC General,APRD,08/09/2016
EXCCUR,Academic EXC General,APRD,08/09/2016
EXCCUR,Academic EXC General,APRD,08/09/2016
EXCCUR,Academic EXC General,APRD,08/09/2016
EXCCUR,Academic EXC General,APRD,08/09/2016
EXC7IN,Academic EXC Independent,ARE,08/09/2016
EXC7IN,Academic EXC Independent,ARE,08/09/2016
EXC7MO,Academic EXC Motivated,ECH,08/09/2016
EXC7MO,Academic EXC Motivated,ECH,08/09/2016
EXC7CR,Academic EXC Creative,DRM,08/09/2016
EXC7CR,Academic EXC Creative,DRM,08/09/2016
EXC7CR,Academic EXC Creative,DRM,08/09/2016
EXC7CR,Academic EXC Creative,DRM,08/09/2016
EXC7CR,Academic EXC Creative,DRM,08/09/2016
INF,Infraction,JR,08/09/2016
EXCCUR,Academic EXC General,JH,08/09/2016
EXCCUR,Academic EXC General,JH,08/09/2016
EXCCUR,Academic EXC General,JH,08/09/2016
EXCCUR,Academic EXC General,JH,08/09/2016
EXCCUR,Academic EXC General,JH,08/09/2016
EXCCUR,Academic EXC General,JEA,08/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,CLK,08/09/2016
EXC7MO,Academic EXC Motivated,AM,08/09/2016
EXC7MO,Academic EXC Motivated,AM,08/09/2016
EXC7DE,Academic EXC Determined,KDB,08/09/2016
EXC7DE,Academic EXC Determined,KDB,08/09/2016
EXC7DE,Academic EXC Determined,KDB,08/09/2016
EXC7CU,Academic EXC Curious,ARE,08/09/2016
EXC7MO,Academic EXC Motivated,CMLK,08/09/2016
EXC7MO,Academic EXC Motivated,CMLK,08/09/2016
EXC7MO,Academic EXC Motivated,CMLK,08/09/2016
EXC7IN,Academic EXC Independent,CMLK,08/09/2016
EXC7MO,Academic EXC Motivated,CMLK,08/09/2016
EXC7MO,Academic EXC Motivated,ERM,08/09/2016
EXC7MO,Academic EXC Motivated,ERM,08/09/2016
EXC7MO,Academic EXC Motivated,ERM,08/09/2016
EXC7MO,Academic EXC Motivated,ERM,08/09/2016
EXC7MO,Academic EXC Motivated,ERM,08/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,SLK,08/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,JAMT,08/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,ERM,08/09/2016
INCWOR,Incomplete Work,JRN,08/09/2016
INCWOR,Incomplete Work,JRN,08/09/2016
INCWOR,Incomplete Work,JRN,08/09/2016
EXCCUR,Academic EXC General,CDP,08/09/2016
EXCCUR,Academic EXC General,CDP,08/09/2016
EXCCUR,Academic EXC General,CDP,08/09/2016
EXCCUR,Academic EXC General,CDP,08/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,LMP,09/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,LMP,09/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,LMP,09/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,LMP,09/09/2016
EXC7MO,Academic EXC Motivated,ARE,09/09/2016
EXC7CU,Academic EXC Curious,ERM,09/09/2016
EXC7CU,Academic EXC Curious,ERM,09/09/2016
EXC7CR,Academic EXC Creative,ERM,09/09/2016
EXC7MO,Academic EXC Motivated,ERM,09/09/2016
EXC7CR,Academic EXC Creative,SP,09/09/2016
EXC7CR,Academic EXC Creative,SP,09/09/2016
EXC7CR,Academic EXC Creative,SP,09/09/2016
EXC7CR,Academic EXC Creative,SP,09/09/2016
EXC7CR,Academic EXC Creative,SP,09/09/2016
EXC7DE,Academic EXC Determined,ERM,09/09/2016
EXC7DE,Academic EXC Determined,ERM,09/09/2016
EXC7DE,Academic EXC Determined,ERM,09/09/2016
EXCCUR,Academic EXC General,CEA,09/09/2016
EXC7CR,Academic EXC Creative,CEA,09/09/2016
EXC7MO,Academic EXC Motivated,JH,09/09/2016
EXC7MO,Academic EXC Motivated,JH,09/09/2016
EXC7MO,Academic EXC Motivated,JH,09/09/2016
EXC7MO,Academic EXC Motivated,JH,09/09/2016
EXC7MO,Academic EXC Motivated,JH,09/09/2016
EXC7MO,Academic EXC Motivated,JH,09/09/2016
EXC7MO,Academic EXC Motivated,JH,09/09/2016
EXC7DE,Academic EXC Determined,JH,09/09/2016
EXC7DE,Academic EXC Determined,JH,09/09/2016
EXC7DE,Academic EXC Determined,DJPS,09/09/2016
EXC7DE,Academic EXC Determined,DJPS,09/09/2016
EXC7MO,Academic EXC Motivated,DJPS,09/09/2016
EXC7MO,Academic EXC Motivated,DJPS,09/09/2016
EXC7MO,Academic EXC Motivated,DJPS,09/09/2016
EXC7MO,Academic EXC Motivated,DJPS,09/09/2016
EXC7IN,Academic EXC Independent,DJPS,09/09/2016
EXC7IN,Academic EXC Independent,DJPS,09/09/2016
EXC7IN,Academic EXC Independent,DJPS,09/09/2016
EXC7OP,Academic EXC Open-minded,MJM,09/09/2016
EXC7MO,Academic EXC Motivated,CMLK,09/09/2016
EXC7MO,Academic EXC Motivated,CMLK,09/09/2016
INF,Infraction,CMLK,09/09/2016
EXC7IN,Academic EXC Independent,CMLK,09/09/2016
EXC7MO,Academic EXC Motivated,CMLK,09/09/2016
EXC7MO,Academic EXC Motivated,CMLK,09/09/2016
EXC7MO,Academic EXC Motivated,CMLK,09/09/2016
EXCCUR,Academic EXC General,LJC,09/09/2016
EXC7DE,Academic EXC Determined,LJC,09/09/2016
EXC7MO,Academic EXC Motivated,KDB,09/09/2016
EXC7MO,Academic EXC Motivated,KDB,09/09/2016
EXC7DE,Academic EXC Determined,CAF,09/09/2016
EXCACT,Co-Curricular EXC General,SJ,09/09/2016
EXC7MO,Academic EXC Motivated,JLP,09/09/2016
INF,Infraction,AWD,09/09/2016
INF,Infraction,JLP,09/09/2016
EXC7CR,Academic EXC Creative,PSJ,09/09/2016
EXC7CR,Academic EXC Creative,PSJ,09/09/2016
EXC7CR,Academic EXC Creative,PSJ,09/09/2016
EXC7CR,Academic EXC Creative,PSJ,09/09/2016
EXC7CR,Academic EXC Creative,PSJ,09/09/2016
EXC7CR,Academic EXC Creative,PSJ,09/09/2016
